regionCode,regionName,UtlaCode,UtlaName,LtlaCode,LtlaName,areaCode,areaName,areaType,date,newCasesBySpecimenDateRollingSum
E12000007,London,E09000007,Camden,E09000007,Camden,E02000167,Hampstead Town,msoa,2023-12-09,4
E12000007,London,E09000007,Camden,E09000007,Camden,E02000171,Mansfield Road & Park Hill Road,msoa,2023-12-09,5
E12000007,London,E09000007,Camden,E09000007,Camden,E02000192,Hatton Garden & Theobalds Road,msoa,2023-12-09,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000170,Fortune Green,msoa,2023-12-02,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000183,Primrose Hill,msoa,2023-12-02,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000184,Camden Street & Elm Village,msoa,2023-12-02,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000188,Euston,msoa,2023-12-02,4
E12000007,London,E09000007,Camden,E09000007,Camden,E02000193,"Holborn, St Giles & Bloomsbury South",msoa,2023-12-02,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000174,Kentish Town East,msoa,2023-11-25,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000184,Camden Street & Elm Village,msoa,2023-10-28,4
E12000007,London,E09000007,Camden,E09000007,Camden,E02000168,Tufnell Park West,msoa,2023-10-21,5
E12000007,London,E09000007,Camden,E09000007,Camden,E02000173,Fitzjohns & Royal Free,msoa,2023-10-21,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000180,Camden Road South,msoa,2023-10-21,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000174,Kentish Town East,msoa,2023-10-14,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000188,Euston,msoa,2023-10-14,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000192,Hatton Garden & Theobalds Road,msoa,2023-10-14,4
E12000007,London,E09000007,Camden,E09000007,Camden,E02000169,Frognal,msoa,2023-10-07,4
E12000007,London,E09000007,Camden,E09000007,Camden,E02000170,Fortune Green,msoa,2023-10-07,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000172,Kentish Town West,msoa,2023-10-07,5
E12000007,London,E09000007,Camden,E09000007,Camden,E02000173,Fitzjohns & Royal Free,msoa,2023-10-07,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000178,Kilburn Grange,msoa,2023-10-07,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000180,Camden Road South,msoa,2023-10-07,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000186,Camden Town & Mornington Crescent,msoa,2023-10-07,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000188,Euston,msoa,2023-10-07,4
E12000007,London,E09000007,Camden,E09000007,Camden,E02000168,Tufnell Park West,msoa,2023-09-30,5
E12000007,London,E09000007,Camden,E09000007,Camden,E02000171,Mansfield Road & Park Hill Road,msoa,2023-09-30,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000172,Kentish Town West,msoa,2023-09-30,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000175,West Hampstead,msoa,2023-09-30,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000176,Belsize Park,msoa,2023-09-30,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000177,Chalk Farm,msoa,2023-09-30,5
E12000007,London,E09000007,Camden,E09000007,Camden,E02000179,Adelaide Road,msoa,2023-09-30,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000180,Camden Road South,msoa,2023-09-30,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000191,Fitzrovia East & Bloomsbury West,msoa,2023-09-30,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000193,"Holborn, St Giles & Bloomsbury South",msoa,2023-09-30,4
E12000007,London,E09000007,Camden,E09000007,Camden,E02000168,Tufnell Park West,msoa,2023-09-23,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000171,Mansfield Road & Park Hill Road,msoa,2023-09-23,5
E12000007,London,E09000007,Camden,E09000007,Camden,E02000177,Chalk Farm,msoa,2023-09-23,4
E12000007,London,E09000007,Camden,E09000007,Camden,E02000185,Kilburn East,msoa,2023-09-23,5
E12000007,London,E09000007,Camden,E09000007,Camden,E02000187,Somers Town,msoa,2023-09-23,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000188,Euston,msoa,2023-09-23,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000166,Highgate West,msoa,2023-09-16,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000167,Hampstead Town,msoa,2023-09-16,5
E12000007,London,E09000007,Camden,E09000007,Camden,E02000166,Highgate West,msoa,2023-09-09,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000181,South Hampstead,msoa,2023-09-09,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000185,Kilburn East,msoa,2023-09-09,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000193,"Holborn, St Giles & Bloomsbury South",msoa,2023-09-09,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000166,Highgate West,msoa,2023-09-02,4
E12000007,London,E09000007,Camden,E09000007,Camden,E02000173,Fitzjohns & Royal Free,msoa,2023-09-02,4
E12000007,London,E09000007,Camden,E09000007,Camden,E02000175,West Hampstead,msoa,2023-09-02,4
E12000007,London,E09000007,Camden,E09000007,Camden,E02000178,Kilburn Grange,msoa,2023-09-02,4
E12000007,London,E09000007,Camden,E09000007,Camden,E02000179,Adelaide Road,msoa,2023-09-02,4
E12000007,London,E09000007,Camden,E09000007,Camden,E02000180,Camden Road South,msoa,2023-09-02,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000184,Camden Street & Elm Village,msoa,2023-09-02,5
E12000007,London,E09000007,Camden,E09000007,Camden,E02000193,"Holborn, St Giles & Bloomsbury South",msoa,2023-09-02,4
E12000007,London,E09000007,Camden,E09000007,Camden,E02000166,Highgate West,msoa,2023-08-19,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000177,Chalk Farm,msoa,2023-08-19,5
E12000007,London,E09000007,Camden,E09000007,Camden,E02000185,Kilburn East,msoa,2023-08-19,6
E12000007,London,E09000007,Camden,E09000007,Camden,E02000187,Somers Town,msoa,2023-08-19,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000166,Highgate West,msoa,2023-08-12,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000178,Kilburn Grange,msoa,2023-08-12,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000184,Camden Street & Elm Village,msoa,2023-08-12,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000185,Kilburn East,msoa,2023-08-12,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000180,Camden Road South,msoa,2023-07-29,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000171,Mansfield Road & Park Hill Road,msoa,2023-07-08,4
E12000007,London,E09000007,Camden,E09000007,Camden,E02000193,"Holborn, St Giles & Bloomsbury South",msoa,2023-06-17,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000168,Tufnell Park West,msoa,2023-06-03,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000171,Mansfield Road & Park Hill Road,msoa,2023-06-03,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000167,Hampstead Town,msoa,2023-05-27,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000171,Mansfield Road & Park Hill Road,msoa,2023-05-27,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000172,Kentish Town West,msoa,2023-05-27,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000168,Tufnell Park West,msoa,2023-05-20,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000172,Kentish Town West,msoa,2023-05-20,5
E12000007,London,E09000007,Camden,E09000007,Camden,E02000177,Chalk Farm,msoa,2023-05-20,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000180,Camden Road South,msoa,2023-05-20,4
E12000007,London,E09000007,Camden,E09000007,Camden,E02000190,Bloomsbury East,msoa,2023-05-20,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000168,Tufnell Park West,msoa,2023-05-13,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000173,Fitzjohns & Royal Free,msoa,2023-05-13,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000180,Camden Road South,msoa,2023-05-13,4
E12000007,London,E09000007,Camden,E09000007,Camden,E02000183,Primrose Hill,msoa,2023-05-13,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000190,Bloomsbury East,msoa,2023-05-13,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000173,Fitzjohns & Royal Free,msoa,2023-05-06,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000182,Swiss Cottage,msoa,2023-05-06,4
E12000007,London,E09000007,Camden,E09000007,Camden,E02000187,Somers Town,msoa,2023-05-06,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000188,Euston,msoa,2023-05-06,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000190,Bloomsbury East,msoa,2023-05-06,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000193,"Holborn, St Giles & Bloomsbury South",msoa,2023-05-06,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000166,Highgate West,msoa,2023-04-29,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000170,Fortune Green,msoa,2023-04-29,4
E12000007,London,E09000007,Camden,E09000007,Camden,E02000173,Fitzjohns & Royal Free,msoa,2023-04-29,4
E12000007,London,E09000007,Camden,E09000007,Camden,E02000175,West Hampstead,msoa,2023-04-29,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000177,Chalk Farm,msoa,2023-04-29,5
E12000007,London,E09000007,Camden,E09000007,Camden,E02000183,Primrose Hill,msoa,2023-04-29,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000184,Camden Street & Elm Village,msoa,2023-04-29,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000187,Somers Town,msoa,2023-04-29,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000167,Hampstead Town,msoa,2023-04-22,3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000173,Fitzjohns & Royal Free,msoa,2023-04-22,6
E12000007,London,E09000007,Camden,E09000007,Camden,E02000178,Kilburn Grange,msoa,2023-04-22,3
